number,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,lines_added,lines_deleted,files_changed,commits,change_num,prev_PRs,title_words,body_words,reviews_count,reviews_users,reviews_avg_len,reviews_time_span_hours,files_count,files_avg_additions,files_avg_deletions,files_avg_changes,files_avg_patch_chars,files_avg_patch_lines
157701,0,0,0,0,0,0,18,5,6,1,1.5,4,8,9,1.0,1.0,0.0,0.0,6.0,3.0,0.8333333333333334,3.8333333333333335,567.6666666666666,15.0
157699,0,0,0,0,0,0,2,2,1,2,2.0,0,6,0,2.0,2.0,0.0,0.07583333333333334,1.0,2.0,2.0,4.0,870.0,13.0
157700,0,0,0,0,0,0,40,9,10,1,1.6666666666666667,2,9,15,1.0,1.0,1.0,0.0,10.0,4.0,0.9,4.9,532.9,15.6
157697,0,0,0,0,0,0,4,3,1,2,4.384615384615385,12,9,14,1.0,1.0,5.0,0.0,1.0,4.0,3.0,7.0,1115.0,27.0
157696,0,0,0,0,0,0,130,56,11,1,1.653061224489796,47,13,14,0.0,0.0,0.0,0.0,11.0,11.818181818181818,5.090909090909091,16.90909090909091,4525.090909090909,78.0
157695,0,0,0,0,0,0,26,10,2,1,1.0535714285714286,54,8,16,0.0,0.0,0.0,0.0,2.0,13.0,5.0,18.0,1000.5,27.5
157691,0,0,0,0,0,0,0,18,2,1,1.0952380952380953,17,6,3,0.0,0.0,0.0,0.0,2.0,0.0,9.0,9.0,371.5,16.0
157688,0,0,0,0,0,0,23,15,4,7,4.384615384615385,11,6,8,0.0,0.0,0.0,0.0,4.0,5.75,3.75,9.5,997.5,26.25
157690,0,0,0,0,0,0,20,2,3,5,9.75,7,7,63,4.0,3.0,0.0,0.8658333333333333,3.0,6.666666666666667,0.6666666666666666,7.333333333333333,632.3333333333334,14.666666666666666
157686,0,0,0,0,0,0,2,2,1,1,1.4,4,6,0,2.0,2.0,1.5,0.23416666666666666,1.0,2.0,2.0,4.0,589.0,11.0
157683,0,0,0,0,0,0,98,1,2,1,1.8333333333333333,2,7,104,1.0,1.0,12.0,0.0,2.0,49.0,0.5,49.5,2163.5,54.5
157685,0,0,0,0,0,0,4,3,1,1,1.375,6,9,16,1.0,1.0,0.0,0.0,1.0,4.0,3.0,7.0,1533.0,35.0
157684,0,0,0,0,0,0,4,4,2,1,1.3333333333333333,2,7,12,1.0,1.0,16.0,0.0,2.0,2.0,2.0,4.0,743.0,9.0
157682,0,0,0,0,0,0,73,7,2,2,1.5,0,8,50,7.0,5.0,3.5714285714285716,23.403333333333332,2.0,36.5,3.5,40.0,2648.0,54.5
157681,0,0,0,0,0,0,184,60,5,2,1.653061224489796,46,16,12,1.0,1.0,0.0,0.0,5.0,36.8,12.0,48.8,9132.6,129.2
157679,0,0,0,0,0,0,2,4,1,1,1.375,7,8,15,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,947.0,20.0
157671,0,0,0,0,0,0,0,10,1,1,1.6941176470588235,80,4,0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,10.0,573.0,17.0
157677,0,0,0,0,0,0,83,94,82,1,1.375,6,9,17,0.0,0.0,0.0,0.0,82.0,1.0121951219512195,1.146341463414634,2.158536585365854,370.609756097561,9.329268292682928
157673,0,0,0,0,0,0,2,1,1,1,2.0,15,8,0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,584.0,8.0
157670,0,0,0,0,0,0,12,25,1,4,1.375,5,7,0,3.0,2.0,0.0,0.36444444444444446,1.0,12.0,25.0,37.0,2586.0,70.0
157668,0,0,0,0,0,0,127,55,4,1,1.653061224489796,45,11,25,0.0,0.0,0.0,0.0,4.0,31.75,13.75,45.5,14439.75,237.5
157669,0,0,0,0,0,0,16,15,4,2,2.0,0,4,14,1.0,1.0,0.0,0.0,4.0,4.0,3.75,7.75,800.5,16.75
157664,0,0,0,0,0,0,516,8,6,3,2.533333333333333,14,6,24,2.0,2.0,2.5,20.385833333333334,6.0,86.0,1.3333333333333333,87.33333333333333,4758.666666666667,96.33333333333333
157663,1,0,0,0,0,0,8,1,1,1,1.375,5,7,257,1.0,1.0,38.0,0.0,1.0,8.0,1.0,9.0,846.0,17.0
157661,0,0,0,0,0,0,2,40,2,1,1.375,4,7,32,1.0,1.0,0.0,0.0,2.0,1.0,20.0,21.0,1235.0,39.0
157658,1,0,0,0,0,0,707,1008,23,1,1.75,3,6,119,2.0,2.0,0.5,4.158888888888889,23.0,30.73913043478261,43.82608695652174,74.56521739130434,3803.086956521739,97.69565217391305
157657,0,0,0,0,0,0,3,3,2,1,1.375,3,8,5,2.0,2.0,0.0,0.2025,2.0,1.5,1.5,3.0,553.5,13.5
157652,0,0,0,0,0,0,72,36,4,1,1.653061224489796,44,10,22,0.0,0.0,0.0,0.0,4.0,18.0,9.0,27.0,7408.75,145.0
157662,0,0,0,0,0,0,2,1,1,1,1.0,0,10,85,3.0,3.0,18.0,0.08916666666666667,1.0,2.0,1.0,3.0,409.0,10.0
157649,1,0,0,0,0,0,1,16,15,2,2.0833333333333335,11,10,102,2.0,2.0,7.5,5.608888888888889,15.0,0.06666666666666667,1.0666666666666667,1.1333333333333333,264.6,8.2
157648,1,0,0,0,0,0,0,0,1,1,1.6941176470588235,79,7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
157645,0,0,0,0,0,0,2,1,1,1,1.375,2,7,17,1.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,422.0,10.0
157647,0,0,0,0,0,0,58,53,3,1,1.6666666666666667,2,9,0,1.0,1.0,0.0,0.0,3.0,19.333333333333332,17.666666666666668,37.0,3333.6666666666665,72.66666666666667
157643,0,0,0,0,0,0,8,4,2,1,1.653061224489796,43,10,24,0.0,0.0,0.0,0.0,2.0,4.0,2.0,6.0,1388.0,29.5
157642,0,0,0,1,0,0,8,1,8,1,1.0,0,5,85,0.0,0.0,0.0,0.0,8.0,1.0,0.125,1.125,396.125,8.125
157639,0,0,1,0,0,0,2532,1576,50,6,2.5454545454545454,8,9,11,1.0,1.0,0.0,0.0,50.0,50.64,31.52,82.16,15805.38,302.72
157641,0,0,0,0,1,0,92224,18,10,1,2.5454545454545454,10,5,19,1.0,1.0,0.0,0.0,10.0,9222.4,1.8,9224.2,4317.7,112.6
157631,0,0,0,0,0,0,46,46,8,1,1.653061224489796,42,10,21,0.0,0.0,0.0,0.0,8.0,5.75,5.75,11.5,2769.0,41.25
157640,0,0,0,0,0,0,2665,2670,29,1,2.5454545454545454,9,7,0,1.0,1.0,0.0,0.0,29.0,91.89655172413794,92.06896551724138,183.9655172413793,12944.931034482759,249.3793103448276
157620,0,0,0,0,0,0,97,0,3,1,1.075,33,9,0,0.0,0.0,0.0,0.0,3.0,32.333333333333336,0.0,32.333333333333336,1326.3333333333333,38.666666666666664
157630,0,0,0,0,0,0,6,3,1,1,1.375,1,8,46,1.0,1.0,0.0,0.0,1.0,6.0,3.0,9.0,329.0,17.0
157617,0,0,0,0,0,0,84,19,3,3,1.8518518518518519,43,13,66,7.0,3.0,0.2857142857142857,24.939444444444444,3.0,28.0,6.333333333333333,34.333333333333336,1812.0,51.666666666666664
157614,0,0,0,0,0,0,140,2,3,4,2.6666666666666665,2,10,8,4.0,3.0,1.75,4.768055555555556,3.0,46.666666666666664,0.6666666666666666,47.333333333333336,1886.3333333333333,54.333333333333336
157613,0,0,0,0,0,0,26,5,2,5,8.25,3,13,65,1.0,1.0,1.0,0.0,2.0,13.0,2.5,15.5,1286.0,30.0
157622,0,0,0,0,0,0,5,13,3,2,3.0,1,7,84,4.0,4.0,5.75,1.5191666666666668,3.0,1.6666666666666667,4.333333333333333,6.0,1126.3333333333333,15.666666666666666
157610,0,0,0,0,0,0,2,0,1,1,2.0,14,7,0,2.0,2.0,0.0,4.3886111111111115,1.0,2.0,0.0,2.0,302.0,9.0
157609,0,0,0,0,0,0,106,3,7,1,1.075,32,7,19,0.0,0.0,0.0,0.0,7.0,15.142857142857142,0.42857142857142855,15.571428571428571,784.8571428571429,21.857142857142858
157605,0,0,0,0,0,0,0,11,1,1,1.6111111111111112,15,8,0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,11.0,849.0,16.0
